Tweet,Is this tweet about Apple (the tech company)?,Does this tweet express a sentiment about Apple?,Rating,Was this tweet published by a news source?,News source,Does this tweet express a sentiment about Microsoft?,Rating
TomiTapio _@Tomi_Tapio  6h6 hours ago See every #Apple product ever made on one poster http://theverge.com/e/6897104 ,Yes/Yes/Yes,No/No/No,,,,No/No/No,
Dimitrieska Sandra _@AleksandraDim  1m1 minute ago iPhone 6 continues to dominate Japan’s smartphone market http://weeder.org/rLH20ic  #apple #mac,Yes/Yes/Yes,Yes/Yes/No,5/5,No,,No/No/No,
Publish88 _@Publish88  3m3 minutes ago iOS and Android Adoption Explodes Internationally #mobile #android #iOS #Apple http://goo.gl/YmxBkp ,Yes/Yes/Yes,Yes/Yes/Yes,4/4/5,No,,No/No/No,
"muhammad sandii _@MSaandii  4m4 minutes ago #SamsungFlow #Apple - SAMSUNG HAS ANNOUNCED a feature called Flow, which looks to rival Apple's… http://migre.me/mP9IN  #Samsung",Yes/Yes/No,Yes/No,2,No,,No/No,
Reuters Tech News _@ReutersTech  6h6 hours ago The U.S. government is warning #Apple users to be on alert for a bug in iOS software: http://reut.rs/1zmYPLB ,Yes/Yes/Yes,Yes/Yes/Yes,2/2/2,Yes/Yes/Yes,Reuters,No/No/No,
Emily Ford _@MobBossFord  37m37 minutes ago Iphone 6 you are straight fire #Apple,Yes/Yes/Yes,Yes/Yes/Yes,5/5/4,No/No/No,,No/No/No,
#Apple News _@applenws  1h1 hour ago Book your next golf outing with OpenTee http://aol.it/1oSXB9U  #apple,Yes/No/Yes,No/No,,,,No/No,
"Benjamin Birkinbine _@bjbirkin  2h2 hours ago Members of U.S. Senate & Congress have personally invested millions in tech, especially #Microsoft and #Apple: http://arstechnica.com/tech-policy/2014/11/congress-bets-big-on-apple-microsoft-stock/ …",Yes/Yes/Yes,Yes/Yes/Yes,4/4/4,No/No/No,,Yes/Yes/Yes,4/4/4
"StackSocial _@StackSocial  3h3 hours agoEnding soon! Enter to win your dream desk setup - including a 27"" #Apple Thunderbolt display: http://bit.ly/1pVMUnZ ",Yes/Yes/Yes,No/No/No,,,,No/No/No,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
