symbol,nr,timestamp,open,high,low,close,volume
AAPL,320976,2014-12-01 14:30:04,118.81,118.9,118.72,118.78,1112800
AAPL,320977,2014-12-01 14:31:59,118.63,118.91,118.63,118.85,707900
AAPL,320978,2014-12-01 14:32:59,118.85,119.18,118.788,119.08,301500
AAPL,320979,2014-12-01 14:33:00,119.1,119.25,119.02,119.16,207200
AAPL,320980,2014-12-01 14:34:59,119.1599,119.19,118.94,119.0901,204500
AAPL,320981,2014-12-01 14:35:00,119.1179,119.13,118.95,119.038,187200
AAPL,320982,2014-12-01 14:36:59,119.03,119.15,119.02,119.03,138900
AAPL,320983,2014-12-01 14:37:00,119.03,119.16,119,119.04,149900
AAPL,320984,2014-12-01 14:38:59,119.04,119.06,118.75,118.8566,278400
AAPL,320985,2014-12-01 14:39:59,118.851,118.86,118.76,118.78,171500
AAPL,320986,2014-12-01 14:40:59,118.78,118.79,118.44,118.5,375400
AAPL,320987,2014-12-01 14:41:59,118.495,118.59,118.05,118.19,573200
AAPL,320988,2014-12-01 14:42:00,118.2,118.36,118.14,118.153,318400
AAPL,320989,2014-12-01 14:43:59,118.15,118.24,118.05,118.0898,325000
AAPL,320990,2014-12-01 14:44:59,118.09,118.28,118.08,118.2214,224700
AAPL,320991,2014-12-01 14:45:00,118.23,118.28,118.14,118.222,170000
AAPL,320992,2014-12-01 14:46:00,118.21,118.24,117.85,117.86,614300
AAPL,320993,2014-12-01 14:47:00,117.86,118.09,117.85,117.896,334600
AAPL,320994,2014-12-01 14:48:00,117.89,117.98,117.68,117.7,371700
AAPL,320995,2014-12-01 14:49:59,117.68,117.77,116.78,116.84,1184500
AAPL,320996,2014-12-01 14:50:59,116.84,117.221,111.27,113.31,6721000
AAPL,320997,2014-12-01 14:51:59,113.36,114.26,113.17,113.92,2042700
AAPL,320998,2014-12-01 14:52:59,113.91,114.5,113.64,113.74,1878900
AAPL,320999,2014-12-01 14:53:59,113.75,115.11,113.65,115.11,1373800
AAPL,321000,2014-12-01 14:54:59,115.08,115.51,114.945,115.47,959000
AAPL,321001,2014-12-01 14:55:00,115.46,115.9,115.16,115.16,1166400
AAPL,321002,2014-12-01 14:56:00,115.15,115.75,115.06,115.42,793700
AAPL,321003,2014-12-01 14:57:59,115.3964,116.1,115.33,115.82,730200
AAPL,321004,2014-12-01 14:58:59,115.865,116.1,115.59,115.612,574700
AAPL,321005,2014-12-01 14:59:00,115.61,115.94,115.59,115.8199,424500
AAPL,321006,2014-12-01 15:00:59,115.83,115.838,115.14,115.42,696200
AAPL,321007,2014-12-01 15:01:59,115.42,115.95,115.38,115.8501,412600
AAPL,321008,2014-12-01 15:02:59,115.85,115.89,115.49,115.6301,447800
AAPL,321009,2014-12-01 15:03:59,115.63,115.67,115.25,115.4,368300
AAPL,321010,2014-12-01 15:04:59,115.4,115.7,115.28,115.54,378600
AAPL,321011,2014-12-01 15:05:00,115.46,115.77,115.46,115.61,261100
AAPL,321012,2014-12-01 15:06:59,115.61,115.616,115.27,115.5049,463200
AAPL,321013,2014-12-01 15:07:59,115.505,115.53,115.25,115.3933,424000
AAPL,321014,2014-12-01 15:08:59,115.3901,115.44,114.81,114.9,755800
AAPL,321015,2014-12-01 15:09:59,114.9,115,114.52,114.58,706500
AAPL,321016,2014-12-01 15:10:59,114.6,114.75,114.46,114.56,602900
AAPL,321017,2014-12-01 15:11:59,114.61,114.69,114.42,114.6,638400
AAPL,321018,2014-12-01 15:12:00,114.61,114.87,114.55,114.77,593800
AAPL,321019,2014-12-01 15:13:59,114.81,115.2,114.75,115.0799,499400
AAPL,321020,2014-12-01 15:14:59,115.07,115.38,115.06,115.32,380100
AAPL,321021,2014-12-01 15:15:59,115.3172,115.34,114.91,115.07,387400
AAPL,321022,2014-12-01 15:16:59,115.07,115.55,115.04,115.55,341000
AAPL,321023,2014-12-01 15:17:59,115.54,115.61,115.24,115.51,362100
AAPL,321024,2014-12-01 15:18:00,115.51,115.84,115.51,115.76,377000
AAPL,321025,2014-12-01 15:19:59,115.77,115.87,115.71,115.78,280900
AAPL,321026,2014-12-01 15:20:58,115.7899,116.14,115.76,116.0601,386100
AAPL,321027,2014-12-01 15:21:00,116.13,116.27,116.01,116.225,398800
AAPL,321028,2014-12-01 15:22:59,116.22,116.5,116.18,116.48,450500
AAPL,321029,2014-12-01 15:23:59,116.48,116.5,116.3,116.4,492500
AAPL,321030,2014-12-01 15:24:00,116.39,116.43,116.18,116.21,329300
AAPL,321031,2014-12-01 15:25:59,116.21,116.5,116.01,116.0999,475600
AAPL,321032,2014-12-01 15:26:59,116.1,116.18,115.86,115.89,350600
AAPL,321033,2014-12-01 15:27:00,115.92,115.945,115.75,115.8599,267200
AAPL,321034,2014-12-01 15:28:59,115.85,115.98,115.65,115.798,319400
AAPL,321035,2014-12-01 15:29:59,115.79,115.98,115.73,115.965,226200
AAPL,321036,2014-12-01 15:30:59,115.95,116.29,115.94,116.0399,288200
AAPL,321037,2014-12-01 15:31:59,116.04,116.138,116.0215,116.0799,185100
AAPL,321038,2014-12-01 15:32:00,116.0728,116.15,115.92,115.92,333800
AAPL,321039,2014-12-01 15:33:59,115.92,115.97,115.8,115.81,201200
AAPL,321040,2014-12-01 15:34:59,115.81,115.8299,115.51,115.58,387900
AAPL,321041,2014-12-01 15:35:59,115.59,115.73,115.5,115.65,280900
AAPL,321042,2014-12-01 15:36:00,115.66,115.673,115.27,115.3,372900
AAPL,321043,2014-12-01 15:37:59,115.31,115.49,115.26,115.47,183700
AAPL,321044,2014-12-01 15:38:59,115.46,115.83,115.45,115.73,237700
AAPL,321045,2014-12-01 15:39:00,115.74,115.92,115.71,115.84,133400
AAPL,321046,2014-12-01 15:40:00,115.85,115.9,115.75,115.75,147800
AAPL,321047,2014-12-01 15:41:59,115.75,115.87,115.65,115.75,142700
AAPL,321048,2014-12-01 15:42:00,115.75,115.7701,115.65,115.69,144500
AAPL,321049,2014-12-01 15:43:59,115.68,115.77,115.54,115.56,137400
AAPL,321050,2014-12-01 15:44:59,115.54,115.65,115.5,115.58,198400
AAPL,321051,2014-12-01 15:45:59,115.575,115.62,115.41,115.45,154500
AAPL,321052,2014-12-01 15:46:59,115.46,115.69,115.4428,115.62,199500
AAPL,321053,2014-12-01 15:47:59,115.62,115.77,115.57,115.7699,180000
AAPL,321054,2014-12-01 15:48:00,115.7699,115.85,115.7,115.81,194700
AAPL,321055,2014-12-01 15:49:00,115.8,115.98,115.77,115.94,190500
AAPL,321056,2014-12-01 15:50:59,115.94,115.95,115.6,115.65,183200
AAPL,321057,2014-12-01 15:51:59,115.66,115.76,115.335,115.34,245200
AAPL,321058,2014-12-01 15:52:59,115.34,115.47,115.28,115.38,242500
AAPL,321059,2014-12-01 15:53:00,115.38,115.59,115.31,115.48,135800
AAPL,321060,2014-12-01 15:54:59,115.4798,115.62,115.4,115.6,128100
AAPL,321061,2014-12-01 15:55:59,115.61,115.67,115.35,115.3799,197100
AAPL,321062,2014-12-01 15:56:59,115.3601,115.38,115.2,115.2,307700
AAPL,321063,2014-12-01 15:57:00,115.2099,115.26,115.1,115.19,242200
AAPL,321064,2014-12-01 15:58:00,115.19,115.24,115.1529,115.21,167300
AAPL,321065,2014-12-01 15:59:00,115.21,115.3,115.2,115.282,135500
AAPL,321066,2014-12-01 16:00:00,115.3,115.37,115.27,115.335,170200
AAPL,321067,2014-12-01 16:01:00,115.335,115.54,115.31,115.53,138100
AAPL,321068,2014-12-01 16:02:00,115.5267,115.7,115.49,115.61,172200
AAPL,321069,2014-12-01 16:03:59,115.606,115.77,115.58,115.7319,118600
AAPL,321070,2014-12-01 16:04:59,115.739,115.8499,115.712,115.83,151100
AAPL,321071,2014-12-01 16:05:00,115.83,115.8301,115.64,115.728,128600
AAPL,321072,2014-12-01 16:06:01,115.72,115.79,115.701,115.746,97900
AAPL,321073,2014-12-01 16:07:59,115.749,115.75,115.65,115.68,159700
AAPL,321074,2014-12-01 16:08:59,115.68,115.75,115.67,115.68,139900
AAPL,321075,2014-12-01 16:09:59,115.68,115.75,115.51,115.54,161900
AAPL,321076,2014-12-01 16:10:59,115.54,115.59,115.47,115.58,114800
AAPL,321077,2014-12-01 16:11:59,115.58,115.76,115.575,115.74,170100
AAPL,321078,2014-12-01 16:12:00,115.74,115.74,115.36,115.42,252700
AAPL,321079,2014-12-01 16:13:00,115.43,115.682,115.43,115.54,202500
AAPL,321080,2014-12-01 16:14:58,115.54,115.67,115.521,115.59,148900
AAPL,321081,2014-12-01 16:15:59,115.58,115.8,115.575,115.78,164900
AAPL,321082,2014-12-01 16:16:59,115.79,115.9,115.6,115.65,222300
AAPL,321083,2014-12-01 16:17:00,115.64,115.7,115.58,115.68,137200
AAPL,321084,2014-12-01 16:18:00,115.68,115.83,115.67,115.824,108200
AAPL,321085,2014-12-01 16:19:00,115.83,115.92,115.7799,115.89,108600
AAPL,321086,2014-12-01 16:20:00,115.89,115.96,115.84,115.871,135800
AAPL,321087,2014-12-01 16:21:00,115.88,115.99,115.8745,115.99,183300
AAPL,321088,2014-12-01 16:22:59,115.99,116.15,115.96,116.11,242300
AAPL,321089,2014-12-01 16:23:59,116.1068,116.23,116.06,116.1499,185000
AAPL,321090,2014-12-01 16:24:59,116.15,116.19,116.02,116.12,194800
AAPL,321091,2014-12-01 16:25:59,116.12,116.175,116.06,116.09,198500
AAPL,321092,2014-12-01 16:26:00,116.09,116.115,116.05,116.09,146100
AAPL,321093,2014-12-01 16:27:59,116.09,116.09,115.88,115.88,188700
AAPL,321094,2014-12-01 16:28:58,115.9001,115.94,115.87,115.925,85700
AAPL,321095,2014-12-01 16:29:58,115.92,115.99,115.9,115.975,172600
AAPL,321096,2014-12-01 16:30:59,115.98,116.05,115.83,115.945,149600
AAPL,321097,2014-12-01 16:31:59,115.95,115.96,115.83,115.84,111200
AAPL,321098,2014-12-01 16:32:00,115.84,115.93,115.84,115.91,120000
AAPL,321099,2014-12-01 16:33:00,115.915,115.94,115.73,115.75,184500
AAPL,321100,2014-12-01 16:34:58,115.75,115.82,115.69,115.8,104000
AAPL,321101,2014-12-01 16:35:00,115.8,115.86,115.72,115.73,110600
AAPL,321102,2014-12-01 16:36:59,115.721,115.84,115.72,115.79,72900
AAPL,321103,2014-12-01 16:37:59,115.8,115.8,115.7,115.71,77100
