symbol;nr;timestamp;open;high;low;close;volume
MSFT;318888;2014-12-01 14:30:59;47,72;47,74;47,72;47,735;875800
MSFT;318889;2014-12-01 14:31:59;47,86;47,92;47,86;47,88;141100
MSFT;318890;2014-12-01 14:32:59;47,88;47,89;47,8298;47,86;131300
MSFT;318891;2014-12-01 14:33:58;47,86;47,95;47,86;47,95;104200
MSFT;318892;2014-12-01 14:34:59;47,97;47,99;47,9401;47,95;63100
MSFT;318893;2014-12-01 14:35:01;47,95;47,98;47,915;47,98;50100
MSFT;318894;2014-12-01 14:36:59;47,98;47,99;47,96;47,99;58700
MSFT;318895;2014-12-01 14:37:59;47,99;48,02;47,99;48,01;94100
MSFT;318896;2014-12-01 14:38:57;48,02;48,09;48,015;48,08;72800
MSFT;318897;2014-12-01 14:39:56;48,08;48,09;48,0385;48,05;129100
MSFT;318898;2014-12-01 14:40:00;48,055;48,1;48,04;48,08;134800
MSFT;318899;2014-12-01 14:41:59;48,09;48,15;48,07;48,08;98500
MSFT;318900;2014-12-01 14:42:00;48,08;48,11;48,03;48,04;81500
MSFT;318901;2014-12-01 14:43:59;48,035;48,09;48,03;48,08;66600
MSFT;318902;2014-12-01 14:44:01;48,085;48,18;48,07;48,15;88700
MSFT;318903;2014-12-01 14:45:59;48,15;48,211;48,14;48,211;68800
MSFT;318904;2014-12-01 14:46:00;48,2139;48,27;48,21;48,23;120400
MSFT;318905;2014-12-01 14:47:58;48,2;48,2;48,12;48,13;74200
MSFT;318906;2014-12-01 14:48:00;48,14;48,14;48,05;48,0961;75100
MSFT;318907;2014-12-01 14:49:59;48,09;48,17;48,08;48,15;83100
MSFT;318908;2014-12-01 14:50:59;48,14;48,2699;48,12;48,255;478400
MSFT;318909;2014-12-01 14:51:59;48,25;48,255;48,1;48,1475;316800
MSFT;318910;2014-12-01 14:52:00;48,145;48,21;48,13;48,2;118600
MSFT;318911;2014-12-01 14:53:57;48,2;48,26;48,2;48,25;126800
MSFT;318912;2014-12-01 14:54:58;48,22;48,25;48,2;48,21;103300
MSFT;318913;2014-12-01 14:55:00;48,205;48,21;48,12;48,12;102400
MSFT;318914;2014-12-01 14:56:59;48,1201;48,13;48,04;48,07;125300
MSFT;318915;2014-12-01 14:57:59;48,061;48,0825;48,04;48,045;179000
MSFT;318916;2014-12-01 14:58:00;48,04;48,05;48,0001;48,03;149100
MSFT;318917;2014-12-01 14:59:03;48,03;48,04;47,97;48;110200
MSFT;318918;2014-12-01 15:00:00;48;48;47,91;47,91;228100
MSFT;318919;2014-12-01 15:01:59;47,92;47,98;47,91;47,98;123300
MSFT;318920;2014-12-01 15:02:56;47,98;48,01;47,98;48;28000
MSFT;318921;2014-12-01 15:03:57;48,01;48,09;48;48,09;116000
MSFT;318922;2014-12-01 15:04:57;48,09;48,14;48,09;48,125;65400
MSFT;318923;2014-12-01 15:05:59;48,12;48,13;48,08;48,0966;74800
MSFT;318924;2014-12-01 15:06:04;48,09;48,09;48,0528;48,07;63900
MSFT;318925;2014-12-01 15:07:54;48,065;48,09;48,03;48,04;47200
MSFT;318926;2014-12-01 15:08:00;48,04;48,085;48,03;48,06;44000
MSFT;318927;2014-12-01 15:09:59;48,06;48,14;48,06;48,1239;65500
MSFT;318928;2014-12-01 15:10:00;48,125;48,19;48,125;48,17;112200
MSFT;318929;2014-12-01 15:11:00;48,18;48,19;48,15;48,18;88800
MSFT;318930;2014-12-01 15:12:01;48,17;48,225;48,17;48,18;50400
MSFT;318931;2014-12-01 15:13:59;48,18;48,24;48,1731;48,24;36300
MSFT;318932;2014-12-01 15:14:58;48,2339;48,27;48,2339;48,25;51600
MSFT;318933;2014-12-01 15:15:00;48,25;48,28;48,21;48,275;91200
MSFT;318934;2014-12-01 15:16:59;48,27;48,41;48,2528;48,41;469900
MSFT;318935;2014-12-01 15:17:59;48,41;48,465;48,4;48,4501;237000
MSFT;318936;2014-12-01 15:18:59;48,451;48,46;48,43;48,44;124800
MSFT;318937;2014-12-01 15:19:59;48,45;48,5;48,44;48,46;140900
MSFT;318938;2014-12-01 15:20:59;48,46;48,46;48,435;48,46;60000
MSFT;318939;2014-12-01 15:21:57;48,46;48,48;48,453;48,46;65700
MSFT;318940;2014-12-01 15:22:56;48,455;48,455;48,41;48,42;47200
MSFT;318941;2014-12-01 15:23:58;48,425;48,45;48,41;48,4461;49500
MSFT;318942;2014-12-01 15:24:59;48,44;48,45;48,3901;48,4;59700
MSFT;318943;2014-12-01 15:25:59;48,4061;48,42;48,37;48,37;95300
MSFT;318944;2014-12-01 15:26:02;48,37;48,3799;48,35;48,37;51700
MSFT;318945;2014-12-01 15:27:57;48,37;48,375;48,354;48,37;62000
MSFT;318946;2014-12-01 15:28:59;48,37;48,38;48,35;48,35;61000
MSFT;318947;2014-12-01 15:29:00;48,35;48,37;48,35;48,3599;56000
MSFT;318948;2014-12-01 15:30:58;48,36;48,36;48,32;48,32;63900
MSFT;318949;2014-12-01 15:31:00;48,33;48,3361;48,28;48,295;63300
MSFT;318950;2014-12-01 15:32:00;48,295;48,305;48,27;48,29;51100
MSFT;318951;2014-12-01 15:33:00;48,29;48,299;48,27;48,2801;13900
MSFT;318952;2014-12-01 15:34:00;48,28;48,36;48,28;48,35;48700
MSFT;318953;2014-12-01 15:35:00;48,35;48,37;48,33;48,37;40400
MSFT;318954;2014-12-01 15:36:59;48,375;48,375;48,33;48,34;52300
MSFT;318955;2014-12-01 15:37:58;48,34;48,36;48,3;48,3;31100
MSFT;318956;2014-12-01 15:38:58;48,3;48,32;48,275;48,3;37500
MSFT;318957;2014-12-01 15:39:59;48,3;48,32;48,28;48,305;39300
MSFT;318958;2014-12-01 15:40:00;48,31;48,31;48,25;48,26;56600
MSFT;318959;2014-12-01 15:41:59;48,26;48,29;48,26;48,2799;30000
MSFT;318960;2014-12-01 15:42:56;48,27;48,31;48,27;48,29;37700
MSFT;318961;2014-12-01 15:43:59;48,29;48,305;48,28;48,2899;26100
