id,date,text,query
539455343072247808,Mon Dec 01 16:25:51 +0000 2014,"@delrey @jpmarcum @apple You should be able to slide it up and it will launch the app. This was shown at WWDC if I recall.",#AAPL OR @Apple
539462962076192768,Mon Dec 01 16:56:07 +0000 2014,"WOAH! 7% Cashback from @Apple store for #CyberMonday deals at http://t.co/fNROGTo4qO. #Ipads, #Iphones, #Mac and MORE.",#AAPL OR @Apple
539477384706015233,Mon Dec 01 17:53:26 +0000 2014,"@Commandr_nchief @Apple No boy. Smh.",#AAPL OR @Apple
539483429893857280,Mon Dec 01 18:17:27 +0000 2014,"RT @JPDesloges: Apple faces $350M in damages from iTunes antitrust suit first filed in 2005 $AAPL #aapl
http://t.co/qVuzdQ7sSa",#AAPL OR @Apple
539487070587457536,Mon Dec 01 18:31:55 +0000 2014,"RT @JoeyDiggsJr: Shoutout to @google translate one time. #GameChanger #LifeSaver",#GOOG OR @Google
539487583391469571,Mon Dec 01 18:33:57 +0000 2014,"Hey #aapl c´moon! I wanted to close my #short in 114.00usd where I bought them. It went 114.07! #doomtrading #fuckthatshit #tradetalk",#AAPL OR @Apple
539488618394705920,Mon Dec 01 18:38:04 +0000 2014,"@google how to make my dog stay asleep while I get things done?",#GOOG OR @Google
539491263465406466,Mon Dec 01 18:48:35 +0000 2014,"@google Congrats! @goksel2019 sent you Bitcoins.  Signup to claim them on http://t.co/chEY70vw34",#GOOG OR @Google
539496956330926080,Mon Dec 01 19:11:12 +0000 2014,"$AAPL has 3 analyst ratings in the last 7 days and 100% are positive. Median target: $140 (21% upside). View: https://t.co/ogs2AlQqHu #AAPL",#AAPL OR @Apple
539497143208132608,Mon Dec 01 19:11:56 +0000 2014,"#News Will consumers hand retailers a lump of coal? - CBS News http://t.co/VKvHg6uEPf Vía @Google",#GOOG OR @Google
539499267870560256,Mon Dec 01 19:20:23 +0000 2014,"Official Google Blog: Race with Rudolph and skydive with Santa in the countdown to December 24 http://t.co/hwC8uuseJa via @google",#GOOG OR @Google
539499652169867264,Mon Dec 01 19:21:55 +0000 2014,"iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing",#AAPL OR @Apple
539499839978213376,Mon Dec 01 19:22:39 +0000 2014,"RT @imagineCSA: http://t.co/1ZMwRCBQv9 @Digiwise_NL Summit 2014 by @htcampus and @google India @360Magazine",#GOOG OR @Google
539501070444011520,Mon Dec 01 19:27:33 +0000 2014,"A #New Version Of #Google @Google Glass Is Coming In 2015 http://t.co/LCeNQyY6WF",#GOOG OR @Google
539501702156918785,Mon Dec 01 19:30:03 +0000 2014,"So I made the switch...#andriod #LGG3 it's a beast! Bye bye @Apple  it's been real",#AAPL OR @Apple
539503490541035520,Mon Dec 01 19:37:10 +0000 2014,"Just applied to @google 's bold internship. #excited",#GOOG OR @Google
539504228931473408,Mon Dec 01 19:40:06 +0000 2014,"Hey .@raymondbraun! Congrats for making .@iMediaTweet's #Top25 marketer for .@google .@YouTube http://t.co/axNX9K4XEk",#GOOG OR @Google
539504571870351360,Mon Dec 01 19:41:28 +0000 2014,"#Intel To Replace #TI In The New Version Of #Google #Glass #INTC  #GOOG #TXN http://t.co/1re43TARiN",#GOOG OR @Google
539508803591753728,Mon Dec 01 19:58:17 +0000 2014,"FUCK ME type 'muslim' into @google images and its just picture after picture of pretty-eyed, head-scarf wearing women or insane looking men",#GOOG OR @Google
539509034122891264,Mon Dec 01 19:59:11 +0000 2014,"Love this interactive Periodic Table from @google research team! http://t.co/s2ksv1ZmdY",#GOOG OR @Google
539509553096695808,Mon Dec 01 20:01:15 +0000 2014,"RT @LosAlamosNatLab: Interactive periodic table of the elements, courtesy of @google. #Boom http://t.co/E82sU1fKhP http://t.co/9LcdBww9BX",#GOOG OR @Google
539509653131251712,Mon Dec 01 20:01:39 +0000 2014,"How did music education influence Larry Page, @google's CEO &amp; cofounder? http://t.co/dh97k35EKn via @FortuneMagazine @mhelft",#GOOG OR @Google
539509881720832000,Mon Dec 01 20:02:34 +0000 2014,"Congrats to @imaginanacopa, a global finalist of the @google GBG Stories Challenge! Thumbs up to vote: http://t.co/vxYa2dGTZ5",#GOOG OR @Google
539510814265208832,Mon Dec 01 20:06:16 +0000 2014,"@google please bring internet to Idaho",#GOOG OR @Google
